id,name,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
115,Kouga,13 (season 1) | 14 (season 2),Male,null,Unknown,Athena,Saints,Bronze Saints | Host Abzu soul,Pegasus Cloth Stone | Pegasus New Cloth | Pegasus Omega Cloth | Pegasus Ultimate Omega Cloth,Orphan Island | Palestra,null,Ophiuchus Shaina (Omega) | Geki (Omega)(master at Palestra,Pegasus Ryuusei Ken | Pegasus Senkou ken | Pegasus Sui Sei Ken | Pegasus Rolling Crash,null,null,Saori Kido (Omega)(foster mother),null,
116,Algol,17,Male,Nov-11,Saudi Arabia,Athena,Saints,Silver Saints,Perseus Cloth | Persues Surplice,Austria,null,null,Medusa Shield | Ra's Al Ghûl Gorgonio,188cm,83kg,null,A,
117,Mirfak,null,Male,null,Afghan,Mars(first) | Athena(current),Saints,Silver Saints,Perseus Cloth Stone,null,null,null,Petra Vrochi | Ra's Al Ghûl Gorgonio | Shield of Medusa,null,null,null,null,
118,Ikki,15,Male,Aug-15,Japan,Himself(first) | Athena(current),Saints,Bronze Saints,Phoenix Cloth | Phoenix New Cloth | Phoenix Plain Cloth | Phoenix Kamui Cloth,Death Queen Island,null,Guilty,Hōō Genma Ken (Phantom Demon) | Hō Yoku Tenshō (Fiery Phoenix),175cm,62kg,Andromeda Shun(brother),null,
119,Albafica,23 years,Male,null,Ottoman Greece,Athena,Saint of Athena,Gold Saint,Pisces Cloth,Athena's Sanctuary, Greece,null,Pisces Rugonis,Royal Demon Rose | Piranhan Rose | Bloody Rose | Crimson Thorn,null,null,null,null
120,Aphrodite,22,Male,Mar-11,Sweden,Gemini Saga(gold saint) | Athena(Resurrected saint),Saint,Gold Saints | Resurrected Saint,Pisces Cloth | Pisces Surplice,Greenland,null,null,Royal Demon Rose | Piranhan Rose | Bloody Rose,1.83 m,72 Kg,null,O,
121,Amor,null,Male,null,Italian,Medea,Saints,Gold Saints,Pisces Cloth Stone,null,null,null,Silent Water | Arrested Judgement | Rinne Kesshō | Bloody Waltz | Bloody Canon | Gravity Concerto | Bloody Bullet,null,null,Medea(sister) | Orion Eden(nephew),null,
122,Cardinale,null,Male,null,Italy,Hades |  | Athena (Current),Saints,Gold Saints,Pisces Cloth,null,null,null,Royal Demon Rose | Bloody Rose | Dagger Rose,null,null,null,null,
123,Lugonis,36-37,Male,null,null,Athena,Saints,Gold Saints,Pisces Cloth,null,Pisces Albafica,null,Royal Demon Rose,null,null,Dryad Luco(brother),null,
124,Lacaille,null,Male,null,Spain,Athena,Saints,Silver Saints,Puppis Cloth,Sanctuary / Greece,null,Capricorn El Cid,Hauling Argo,null,null,null,null,
125,Rusk,null,Male,null,null,Athena,Saints,Bronze Saints,Pyxis Cloth,Sanctuary / Greece,null,Capricorn El Cid,Howling Argo,null,null,null,null,
126,Balazo,null,Male,null,null,Mars,Saints,Silver Saints,Reticulum Cloth Stone,null,null,null,null,null,null,null,null,
127,Ptolemy,16,Male,Jun-16,Libya,Athena,Saints,Silver Saints,Sagitta Cloth,Thebes /  Egypt,null,null,Phantom Arrow,180 cm,73 kg,null,B,
128,Maya,null,Male,null,null,Athena(silver saint) | Eris(ghost five),Saints,Silver Saints | Ghost Five,Sagitta Cloth,null,null,null,Hunting Arrow Express,169cm,58kg,null,null,
129,Archon,null,Male,null,null,Athena(silver saint) | Hades (brainwash),Saints,Silver Saints,Sagitta Cloth,null,null,null,Phantom Arrow,null,null,null,null,
130,Sham,null,Male,null,null,Mars,Saints,Silver Saints,Sagitta Cloth Stone,null,null,null,null,null,null,null,null,
131,Aiolos,14 - Original |  | 27 - Episode G Assassin,Male,Nov 30th,Greece,Athena |  | Chaos Athena - Episode G Assassins,Saints |  | Pope,Gold Saints,Sagittarius Cloth,Sanctuary / Greece,Leo Aiolia,null,Atomic Thunderbolt (anime-only) | Infinity Break (G) |  | Lightning Plasma (GA) | Flashover (GA) | Arc Plasma (GA) | Lightning Flame (GA) | Lightning Bolt (GA) | Lightning Implosion (GA) | Lightning Telios (GA),185 cm,85 kg,Leo Aiolia(Brother),O,
132,Gestalt,null,Male,null,Holy Roman Empire,Athena,Saints,Gold Saints,Sagittarius Cloth,null,null,null,Arrow Sagittarius | Arrow of the Goddess,null,null,null,null,
133,Sisyphus,29,Male,null,Holy Roman Empire,Athena,Saints,Gold Saints,Sagittarius Cloth,Sanctuary /  Greece,Leo Regulus,null,Light Arrows | Cheiron's Light Impulse,null,null,Leo Ilias(Brother) | Leo Regulus(Nephew),null,
134,Milo,20,Male,Nov-08,Greece,Athena,Saints,Gold Saints,Scorpio Cloth,Greece (Milos Island),null,null,Restriction | Scarlet Needle | Antares,185cm,84kg,null,B,
135,Escarlate,null,Male,null,null,Athena,Saints,Gold Saints,Scorpio Cloth,null,null,null,Scarlet Needle /  Antares /  Restriction,null,null,null,null,
136,Kardia,22,Male,null,Ottoman Greece,Athena,Saints,Gold Saints,Scorpio Cloth,null,null,null,Scarlet Needle | Scarlet Needle Katakeo | Scarlet Needle Katakeo Antares,null,null,null,null,
137,Sonia,null,Female,null,Polish,Mars,Martians | Saints,Martian | Gold Saints,"	Hornet Galaxy | Scorpio Cloth Stone",Italy,null,Mars,Hornet Stinger | Twilight Marionette | Turn Back The Darkness | Crimson Needle | Antares Maelstrom,null,null,Mars(Father) | Misha(Mother) | Medea(Step-mother) | Orion Eden(Half-brother),null,
138,Zaphiri,null,Male,Nov-09,null,Athena,Saints,Gold Saints,Scorpio Cloth,null,null,null,Scarlet Needle,188 cm,87 kg,null,A,
139,Ennead,null,Male,null,null,Mars(first) | Athena(current),Saints,Silver Saints,Scutum Cloth Stone,null,null,null,Perfect Square,null,null,null,null,
140,Juan,null,Male,null,null,Athena,Saints,Silver Saints,Scutum Cloth,null,null,null,Astral Gravitation,null,null,null,null,
141,Jan,null,Male,null,null,Athena(silver saint) | Eris(ghost five),Saints,Silver Saints | Ghost Five,Scutum Cloth,null,null,null,Bone Crush Screw,175cm,60kg,null,null,
142,Yulij,null,Female,null,null,Athena,Saints,Bronze Saints,Sextans Cloth,Sanctuary / Greece,null,null,null,null,null,null,null,
143,Aldebaran,20,Male,May-08,Brazilian,Athena,Saints,Gold Saints,Taurus Cloth,Brazil,null,null,Great Horn,210 cm,130 kg,null,B,
144,Francisca,null,Male,02-May,null,Athena,Saints,Gold Saints,Taurus Cloth,null,null,null,null,null,null,null,O,
145,Harbinger,null,Male,null,American,Mars(first) | Athena(current),Saints,Gold Saints,Taurus Cloth Stone,Sanctuary / Greece,null,null,Shadow Horn | Great Horn | Greatest Horn,null,null,null,null,
146,Hasgard,28,Male,null,Kingdom of Portugal,Athena,Saints,Gold Saints,Taurus Cloth,Sanctuary / Greece,Teneo | Celintha | Salo,null,Great Horn | Titan's Nova | Titan's Break,null,null,null,null,
147,Ox,null,Male,null,null,Athena,Saints,Gold Saints,Taurus Cloth,null,null,null,Great Horn,null,null,null,null,
148,Teneo,null,Male,May 6th,Italy,Athena,Saints,Gold Saints,Taurus Cloth,Sanctuary / Greece,null,Taurus Rasgado,Great Horn | Pleiades Nova,162cm-190cm,55kg-89kg,null,A,
149,Noesis,null,Male,null,null,Athena,Saints,Silver Saints,Triangulum Cloth,null,Lynx Retsu,null,Tritos Spharagisma,null,null,null,null,
150,Geki,15,Male,May-15,Japan,Athena,Saints,Bronze Saints,Bear Cloth,Rocky Mountains /  Canada,null,null,Hanging Bear,188 cm,102 kg,null,A,
151,Douglas,null,Male,null,null,Athena,Saints,Bronze Saints,Bear Cloth,null,null,null,null,null,null,null,null,
152,Xiaoling,null,Female,null,China,Athena,Saints | Saintias,Bronze Saints,Ursa Minor Cloth,Saint Academy,null,null,Kyokuten Shichisei Ken,null,null,null,null,
153,Tsubaki,null,Male,null,Japan,Athena,Saints,Silver Saints,Vela Cloth,Sanctuary / Greece,null,Capricorn El Cid,Howling Argo/Hauling Argo,null,null,null,null,
154,Shaka,20,Male,September /  19th,India,Athena,Saints,Gold Saints,Virgo Cloth,India(River Ganges),Peacock Shiva (Anime) | Lotus Aghora (Anime),null,Tenpōrin'in | Ōm | Kān | Tenma Kōfuku | Rikudō Rinne | Tenkūhaja Chimimōryō | Tenbu Hōrin,183cm,73kg,null,AB,
155,Asmita,21,Male,null,Maratha Empire | (today part of India and Pakistan),Athena,Saints,Gold Saints,Virgo Cloth,Mughal Empire | (today part of Bangladesh and India),null,null,Ōm | Kān | Riku Dō Rin Ne | Tenbu Hōrin | Tenkūhaja Chimimōryō | Tenma Kōfuku | Gōma In,null,null,null,null,
156,Fudou,null,Male,null,Nepalese,Mars(first) | Athena(current),Saints,Gold Saints,Virgo Cloth Stone,null,null,null,Noumaku Sanmanda Bazaradan Kan | Shogyō Danzai | Ōm | Shōji Sokunehan | Myōō Rairin | Kān | Bodai Shōgo,null,null,null,null,
157,Shijima,null,Male,null,Japan,Athena,Saints,Gold Saints,Virgo Cloth,India,null,null,Tenbu Hōrin | Ungyō | Zone of Silence | The Buddha's Four Doors | Tenma Kōfuku,null,null,null,null,
158,Argo,null,Male,null,null,Athena,Saints,Saint Apprentice,Volans Cloth Stone,Palestra,null,Geki (Omega) | Georges,null,null,null,null,null,
159,Rudolph,null,Male,null,null,Athena,Saints,Bronze Saints,Reindeer Cloth Stone,Palestra,null,Geki (Omega),null,null,null,null,null,
160,Dante,17,Male,Mar-29,Italy,Athena,Saints,Silver Saints,Cerberus Cloth | Cerberus Surplice,Sicily /  Italy,null,null,Jigoku no Kōkyūsa,185cm,93kg,null,AB,
161,Dorer,null,Male,null,Romanian,Mars(first) | Athena(current),Saints,Silver Saints,Cerberus Cloth Stone,null,null,null,Kerberos Claw | Kerberos Inferno | Kerberos Divide | Kerberos Hell Flare,null,null,null,null,
162,Partita,null,Female,null,Kingdom of Prussia | (today part of Poland and Germany),Athena(formerly) | Pandora,Saints (formerly) | Specters,Silver Saints,Owl Cloth | Owl Surplice,null,null,null,null,null,null,null,null,
163,Aghora,17,Male,Sep-06,India,Virgo Shaka,Saints,Silver Saints,Lotus Cloth,India,null,Virgo Shaka,Renge Bakusai Ken,null,89 Kg,null,B,
164,Arachne,16,Male,Aug-11,null,Pope Ares (Saga),Saints,Silver Saints,Tarantula Cloth,null,null,null,Tarantula Net,null,84 Kg,null,null,
165,Spartan,null,Male,null,null,Athena,Saints,Silver Saints,Pyxis Cloth,Sanctuary / Greece,null,null,null,null,null,null,null,
166,Leda,null,Male,null,null,Athena,null,Bronze Saints,null,null,null,null,null,null,null,null,null,
167,Spika,null,Male,null,null,Athena,null,Bronze Saints,null,null,null,null,null,null,null,null,null,
168,Docrates,20 years,Male,May-15,Greece,Athena,Saint of Athena,null,null,null,null,null,Heracles Mōshū Ken,435 cm,null,Cassios (Younger brother),A,
169,Phaeton,null,Male,null,null,Gemini Saga as a Pope,Saints,Captain of Palace Guards at Sanctuary,null,null,null,null,null,null,null,null,null,
170,Gigas,null,Male,null,null,Gemini Saga as a Pope,null,null,null,null,null,null,null,null,null,null,null,
171,Geist,14,Female,Apr-02,Italy,Pope Ares (Saga),Saints,Caraib Ghost Saints,Geist Cloth,Sanctuary /  Greece,null,null,Phantom Genwaku Ken | Thunder Claw,null,50 kg,Ophiuchus Shaina (sister),AB,
172,Daichi,null,Male,null,Japan,Athena,Saints,Steel Saints,Land Cloth,null,null,null,Steel Hurricane,null,null,null,null,
173,Emma,null,Female,null,null,Athena,Saints,Steel Saints,Basic Steel Cloth,Palestra,null,Geki (Omega),Steel Hurricane,null,null,null,null,
174,Erna,null,Male,null,null,Athena,Saints,Steel Saints,Basic Steel Cloth,null,null,Ban (Omega) | Nachi (Omega),null,null,null,null,null,
175,Kerry,null,Male,null,null,Athena,Saints,Steel Saints,Basic Steel Cloth,null,null,Ban (Omega) | Nachi (Omega),null,null,null,null,null,
176,Sho,null,Male,null,Japan,Athena,Saints,Steel Saints,Sky Cloth,null,null,null,Steel Hurricane,null,null,null,null,
177,Ushio,null,Male,null,Japan,Athena,Saints,Steel Saints,Marine Cloth,null,null,null,Steel Hurricane,null,null,null,null,
178,Alegre,null,Male,March 6th,Italy,Black Altar Avido,Saints,Black Saints,Black Whale Cloth,null,null,null,Holy Spout | Will Baritsu,189cm,95kg,null,O,
179,Don Avido,null,Male,July 22th,Italy,Himself,Saint,Black Saint,Black Altar Cloth,Jamir,null,Hakurei,Sekishiki Meikai Ha | Sekishiki Kisōen | Sekishiki Konsō Ha,190 cm,89 kg,null,O,
180,Guilty,null,Male,null,null,Athena,null,null,null,null,null,null,null,192cm,91kg,null,null,
181,Jango,18,Male,August 8th,Samoa Islands,Himself,Saints,Black Saints,null,Death Queen Island,null,null,Death Queen Inferno,188cm,101kg,null,B,
182,Jid,15,Male,Dec-28,Finland,Phoenix Ikki,Saints,Black Saints,Black Swan Cloth,Death Queen Island,null,null,Black Blizzard,173 cm,61 kg,null,O,
183,Kenuma,15,Male,Jule 13,Israel,Phoenix Ikki,Saints,Black Saints,Black Pegasus Cloth,Death Queen Island,null,null,Black Ryu Sei Ken,170 cm,58 Kg,null,B,
184,Lemargos,null,Male,July 18th,Italy,Black Altar Avido,Saints,Black Saints,Black Heracles Cloth,Death Queen Island,null,null,null,185 cm,88 kg,null,A,
185,Ritahoa,15,Male,null,null,Godless,Saint,Black Saint,Black Phoenix,Death Queen Island,null,null,Dark Phoenix diabolical illusion,1.73 m,75 kg,null,null,
186,Ruse,null,Male,November 5th,France,Black Altar Avido,Saints,Black Saints,Black Crow Cloth,Death Queen Island,null,null,Black Feather Defense,182 cm,75 kg,null,B,
187,Shinadekuro,15,Male,Aug-10,Poland,Phoenix Ikki,Saints,Black Saints,Black Dragon Cloth,Death Queen Island,null,null,Black Shō Ryū Ha (Saint Seiya Senki only),173cm,62kg,Black Dragon Fukuryu (twin brother /  manga-only),A,
188,Fukuryu,15,Male,Aug-10,Poland,Phoenix Ikki,Saints,Black Saints,Black Dragon Cloth,Death Queen Island,null,null,null,173cm,62kg,Black Dragon(twin brother),A,
189,Judo,null,Male,January 10th,null,Black Altar Avido,Saints,Black Saints,Black Hound Cloth,Death Queen Island,null,null,Satori,187 cm,85 kg,null,AB,
190,Rhuax,null,Male,null,null,Kronos,Giant,null,Phoinikeos (Crimson Lava),null,null,null,null,null,null,null,null,
191,Pyrokus,null,Male,null,null,Kronos,Giant,null,Kyanos (Blue Flame),null,null,null,Blazing Claw Whip | Melted Rock-forming,null,null,null,null,
192,Anemos,null,Male,null,null,Kronos,Giant,null,Leukotes (White Wind),null,null,null,null,null,null,null,null,
193,Bronte,null,Male,null,null,Kronos,Giant,null,Melas (Black Thunder),null,null,null,null,null,null,null,null,
194,Spathe,null,Male,null,null,Kronos,Giant,null,Phaios (Grey Blade),null,null,null,Eight Direction Claw,null,null,null,null,
195,Zugylos,null,Male,null,null,Kronos,Giant,null,Anthrakma (Ruby Iron),null,null,null,Light Hammer Crush | Light Arm Crush,null,null,null,null,
196,Drakon,null,Male,null,null,Kronos,Giant,null,Margarites (Pearl Dragon),null,null,null,Dunamis Pneuma,null,null,null,null
197,Tail,null,Male,null,null,Kronos,Giant,null,Elektron (Amber Beast),null,null,null,Dunamis Odous,null,null,null,null
198,Hoplisma,null,Male,null,null,Kronos,Giant,null,Nefritis (Jade Armor),null,null,null,Dunamis Pelekus,null,null,null,null
199,Agrios,null,Male,null,null,Typhon,Gigas,null,Lapis Lazuli Adamas (Brute Force),null,null,null,Cragg Press,null,null,null,null
200,Toas,null,Male,null,null,Typhon,Gigas,null,Malachite Adamas (Thunderclap),null,null,null,Stigma | Avenger Shot,null,null,null,null
201,Pallas,null,Male,null,null,Typhon,Gigas,null,(Stupidity),null,null,null,Puppet Claw,null,null,null,null
202,Encélado,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
203,Ortos,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
204,Quimera,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
205,Ladon,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
206,Equidina,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
207,Tifon,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
208,Céos,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
209,Créos,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
210,Cronos,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
211,Febe,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
212,Hyperion,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
213,Iápeto,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
214,Mnemôsine,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
215,Oceano,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
216,Réia,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
217,Téia,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
218,Têmis,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
219,Tétis,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
220,Atlas,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
221,Euríbia,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
222,Prometeu,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
223,Shelley,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
224,Ate,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
225,Disnomia,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
226,Emony,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
227,Mania,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
228,Phonos,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
229,Feiyan,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
230,Hakuryu,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
231,Hui,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
232,Liu Xing,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
233,Mudan,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
234,Arkhes,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
235,Hema,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
236,Kokalo,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
237,Chaceldony,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
238,Cornelian,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
239,Flint,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
240,Garnet,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
241,Tourmaline,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
242,Nahualpilli,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
243,Calisto,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
244,Lascoumoune,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
245,Satellites,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
246,Medea,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
247,Ordykia,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
248,Radzinsky,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
249,Ragno,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
250,Sonia,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
251,Marcian Commander,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
252,Escaravelho #1,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
253,Escaravelho #2,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
254,Baco,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
255,Diana,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
256,Rômulo,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
257,Vulcano,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
258,Titan,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
259,Hyperion,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
260,Gália,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
261,Aigaion,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
262,Dione,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
263,Réia,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
264,Europa,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
265,Aegir,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
266,Surtr,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
267,Tarvos,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
268,Loge,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
269,Ymir,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
270,Metone,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
271,Halimede,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
272,Hati,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
273,Tebe,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
274,Cilene,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
275,Greip,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
276,Miller,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
277,Green Pallasites,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
278,Red Pallasites,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
279,Yellow Pallasites,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
280,Blue Pallasites,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
